State	State's Utility	Best Action
LMHI	118.01540988752359	1
MLIH	251.70669136882407	1
MMII	119.53591857402594	0
NMII	221.70669136882407	1
NLII	324.1186581093389	1
HOII	-11.595640845870655	3
IOIH	42.671658356821055	3
IOII	-33.01268306356452	2
ILII	-51.35443501655042	0
HLII	164.8611010929643	0
NMIH	110.20917447428249	0
NMMI	289.5732339669121	3
NMNI	377.30374379703267	1
NLNI	463.6709729803539	1
NOMI	584.7791375238821	0
OOML	1103.0541967423208	2
OLHO	357.8668739339582	0
OMHL	330.9633345239894	1
OMIL	329.9633345239894	0
ONIL	355.5149536836527	1
OMIN	325.5149536836527	3
OMHM	580.0705647025949	2
OMNM	655.63410507499	1
LLNN	717.371368357521	0
OMHN	652.4263341868952	1
LOIN	522.8625408757271	2
LOIH	558.7362913338768	2
MONH	696.9244462119705	3
MMMH	569.3901118526	2
HMLN	409.9292307395128	3
HNLN	466.5881847825186	0
MNLN	518.4314630879239	3
NNMM	564.9239906781239	0
LNMN	649.915684241922	2
MNMM	554.9241158177298	0
LNLI	550.0545605901164	0
LOII	464.631054148869	3
NLIH	118.37499098366789	2
NNII	-50.145789650808254	0
OHII	110.76271926924983	3
OHIH	178.6253624191323	1
ONIH	339.38297088361463	1
NOIH	482.8626622004891	0
NOHI	414.5763959804402	3
LMHL	345.5149536836527	0
IMII	-137.96520313605174	1
IMIM	-8.530069084352405	1
IOIN	111.58251002970587	2
IOHI	256.32670144542357	2
ILNH	200.69403130088122	1
IMNN	-8.256588662554414	3
IMHM	78.79781628179472	1
ILHM	165.33105549534073	3
ILHL	228.14576182360037	2
ILNN	264.60654282665166	1
ILNI	190.2563325738358	1
IOHN	262.4863166956806	2
IOHH	244.53785810069598	2
IOMH	394.0185478779457	3
IOMN	442.610946207142	2
ILMM	254.52257791078858	0
ILMH	408.6373897101908	2
IMOH	406.6460075998602	3
IMON	485.1623688065675	1
IMLH	302.00998012201677	2
INOI	362.9814068398742	3
INON	436.64613192591077	1
ILLM	441.4412319838904	3
ILMN	245.15490589018856	3
IMMM	294.61669309015116	1
ILLH	338.3314836669417	1
INNH	-9.761619603200671	1
INNI	-111.27535128050512	3
IOHM	368.3498515864278	2
ILOM	640.1113252264619	1
IOMO	749.7712509690929	2
IONO	704.7941258721836	2
IONL	469.6873868108295	1
IOHL	532.8090746909415	2
ILNL	499.5379399905156	2
IMML	210.74512887993913	3
IMMO	544.9893299362033	2
IMOO	627.7660727283784	0
IMLO	675.2957829786335	1
ILLO	739.2176793977377	1
IIIM	-352.19285714285616	3
IIIL	-280.21428571428487	3
IHIM	-87.57313980015451	3
IHIL	2.6966632352850795	1
IHIO	-64.1575310078423	1
INIO	32.69666323528508	0
ILIL	2.286906678534038	2
IMIO	4.8123043757670985	1
IOIL	49.79160149903694	1
ILIM	47.23984430721153	1
ILIN	-28.214990235398286	1
ILIH	-85.39349121185846	3
IOIM	108.0444096248032	2
ILHH	79.24428240588267	1
IIHN	-241.45454545454547	2
IINI	-320.4519480519481	3
IIHI	-430.4329397874852	2
IINH	-215.65454545454548	3
IIMN	-56.18369900314785	3
IIMM	15.351554564719194	2
IIMO	-26.183600891752725	0
IIMI	-281.6402597402597	3
IILI	-39.02191800314708	0
IOIO	44.81244134913325	0
ILHN	190.08407229062638	1
IMMN	215.15502378113604	3
IMOM	377.2971087855014	1
ILML	490.49039694258295	3
ILMO	542.8090746909415	1
ILNM	429.5841459914641	3
IHMM	-58.11311872863138	0
IIOM	245.77499337970016	3
IILL	317.52788088702073	3
IIOO	427.81231813442605	0
IILO	375.03108632098343	2
LIOO	939.7683414261911	1
OILO	934.2623315667776	2
OIOL	658.7418256046884	0
OIOM	711.6562325173878	1
OILM	604.4414295654776	1
OHLM	660.490609265649	2
OMLM	874.1177907544591	2
LMOO	1081.7919668240406	1
LMLO	1031.1039702824492	1
LOLL	1087.1973765624662	2
LLML	988.9446282202381	0
OOHO	1081.7007334918376	2
LLHM	413.9327256009908	1
LLIL	498.68250851631433	1
MMIN	57.582326716623356	0
LIHN	76.17344152327647	0
OIHN	117.97063580752499	0
LIMH	228.88314328836867	1
LHMH	465.43018951595275	1
MMMI	550.4781336169071	0
LLNH	764.0354105111119	2
MNOI	406.071947395398	2
MNLH	678.2066763966329	3
NNLN	764.6742149482301	0
MHLO	843.9621707529818	2
MHOL	915.5137017408639	3
NHOL	283.79282842230043	3
NHOM	255.4135455800704	3
NHLO	281.9928284223005	2
HHLO	279.9928284223005	1
HNLO	299.9928284223005	1
HHNL	66.77376254273726	0
MINM	199.5371215716452	2
OIML	352.53080141222864	1
OIMM	380.58991532731613	1
LHNN	445.1000383205547	0
OHNM	613.5798832501544	1
ONNM	681.7555766745257	2
LMLL	880.1003694628484	2
LNOL	1005.3005746515664	0
OILL	680.490609265649	2
NOOL	1074.8743061260507	0
NOOM	1017.3868755134456	3
OLMO	1092.5244108584775	2
MNLO	977.0382084054515	0
MHOO	995.0153981354996	0
MNOO	972.5138583219498	0
OMNN	761.4049302249772	1
ONMH	704.1003521690943	2
OONL	1089.154253741712	3
MOLL	1047.109455976402	2
NLOO	1075.7087123863867	1
